Calibration metrics:
x348: Cal. error 0.3860, RMSE 0.2819, R2 -1.2754
x349: Cal. error 0.4130, RMSE 0.2789, R2 -1.3929
x350: Cal. error 0.4230, RMSE 0.2722, R2 -1.4420
x351: Cal. error 0.4260, RMSE 0.2529, R2 -1.4311
x352: Cal. error 0.4290, RMSE 0.2341, R2 -1.3591
x353: Cal. error 0.4360, RMSE 0.2257, R2 -1.3026
x354: Cal. error 0.4370, RMSE 0.2278, R2 -1.2674
x355: Cal. error 0.4400, RMSE 0.2422, R2 -1.2907
x356: Cal. error 0.4320, RMSE 0.2617, R2 -1.2964
x357: Cal. error 0.4500, RMSE 0.2754, R2 -1.2890
x358: Cal. error 0.4360, RMSE 0.2878, R2 -1.2377
x359: Cal. error 0.4340, RMSE 0.2781, R2 -1.1329
x360: Cal. error 0.4430, RMSE 0.2658, R2 -0.9877
x361: Cal. error 0.4170, RMSE 0.2527, R2 -0.8673
x362: Cal. error 0.4230, RMSE 0.2358, R2 -0.7827
x363: Cal. error 0.4400, RMSE 0.2207, R2 -0.7500
x364: Cal. error 0.4160, RMSE 0.2223, R2 -0.7458
x365: Cal. error 0.4120, RMSE 0.2263, R2 -0.7830
x366: Cal. error 0.4320, RMSE 0.2293, R2 -0.8146
x367: Cal. error 0.4410, RMSE 0.2351, R2 -0.8438
x368: Cal. error 0.4260, RMSE 0.2361, R2 -0.8107
x369: Cal. error 0.4170, RMSE 0.2347, R2 -0.7778
x370: Cal. error 0.4050, RMSE 0.2456, R2 -0.8056
x371: Cal. error 0.3860, RMSE 0.2633, R2 -0.9139
x372: Cal. error 0.3950, RMSE 0.2814, R2 -1.0071
x373: Cal. error 0.4160, RMSE 0.2699, R2 -1.1420
x374: Cal. error 0.4170, RMSE 0.2682, R2 -1.2549
x375: Cal. error 0.4220, RMSE 0.2863, R2 -1.2729
x376: Cal. error 0.4170, RMSE 0.2923, R2 -1.1724
x377: Cal. error 0.4290, RMSE 0.2668, R2 -1.0770
x378: Cal. error 0.4200, RMSE 0.2478, R2 -0.9160
x379: Cal. error 0.4240, RMSE 0.2399, R2 -0.7930
x380: Cal. error 0.4120, RMSE 0.2362, R2 -0.6981
x381: Cal. error 0.4240, RMSE 0.2376, R2 -0.7644
x382: Cal. error 0.4490, RMSE 0.2283, R2 -0.9381
x383: Cal. error 0.4490, RMSE 0.2284, R2 -1.0412
x384: Cal. error 0.3900, RMSE 0.1368, R2 0.3360
x385: Cal. error 0.3160, RMSE 0.1201, R2 0.5173
